dataname,method,t,tol,knn,size_neighbor,min_neighbor,s_p,s_r,s_f1,o_p,o_r,o_f1,c_p,c_r,c_f1,overall_runtime,structured_runtime,combined_runtime,param,high_dim
yeast,ocsvm,0,0.01,FALSE,10,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.353667498,5.92555666,8.279224157,nu_0.1,TRUE
yeast,ocsvm,0.01,0.01,FALSE,10,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.353667498,5.92555666,8.279224157,nu_0.1,TRUE
yeast,ocsvm,0.05,0.01,FALSE,10,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.353667498,5.92555666,8.279224157,nu_0.1,TRUE
yeast,ocsvm,0.1,0.01,FALSE,10,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.353667498,5.92555666,8.279224157,nu_0.1,TRUE
yeast,ocsvm,0,0.01,FALSE,10,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.353667498,5.517215252,7.87088275,nu_0.1,TRUE
yeast,ocsvm,0.01,0.01,FALSE,10,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.353667498,5.517215252,7.87088275,nu_0.1,TRUE
yeast,ocsvm,0.05,0.01,FALSE,10,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.353667498,5.517215252,7.87088275,nu_0.1,TRUE
yeast,ocsvm,0.1,0.01,FALSE,10,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.353667498,5.517215252,7.87088275,nu_0.1,TRUE
yeast,ocsvm,0,0.01,FALSE,10,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.42254043,5.502447128,16.92498755,nu_0.5,TRUE
yeast,ocsvm,0.01,0.01,FALSE,10,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.42254043,5.502447128,16.92498755,nu_0.5,TRUE
yeast,ocsvm,0.05,0.01,FALSE,10,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.42254043,5.502447128,16.92498755,nu_0.5,TRUE
yeast,ocsvm,0.1,0.01,FALSE,10,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.42254043,5.502447128,16.92498755,nu_0.5,TRUE
yeast,ocsvm,0,0.01,FALSE,10,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.42254043,5.522119045,16.94465947,nu_0.5,TRUE
