dataname,method,t,tol,knn,size_neighbor,min_neighbor,s_p,s_r,s_f1,o_p,o_r,o_f1,c_p,c_r,c_f1,overall_runtime,structured_runtime,combined_runtime,param
yeast,isf,0,1.00E-06,TRUE,100,10,0.3358,0.9704,0,0.3282,0.927,0.4848,0.3381,0.9822,0,4.248873949,1983.090055,1987.338929,nu_0.4
yeast,isf,0.01,1.00E-06,TRUE,100,10,0.3301,0.9389,0,0.3282,0.927,0.4848,0.3352,0.9665,0,4.248873949,1983.090055,1987.338929,nu_0.4
yeast,isf,0.05,1.00E-06,TRUE,100,10,0.3269,0.9034,0,0.3282,0.927,0.4848,0.3326,0.9527,0,4.248873949,1983.090055,1987.338929,nu_0.4
yeast,isf,0.1,1.00E-06,TRUE,100,10,0.2875,0.643,0,0.3282,0.927,0.4848,0.3287,0.9329,0,4.248873949,1983.090055,1987.338929,nu_0.4
yeast,isf,0,1.00E-06,TRUE,100,25,0.3347,0.9645,0,0.3282,0.927,0.4848,0.3374,0.9783,0,4.248873949,1932.310238,1936.559112,nu_0.4
yeast,isf,0.01,1.00E-06,TRUE,100,25,0.3313,0.9428,0,0.3282,0.927,0.4848,0.3352,0.9665,0,4.248873949,1932.310238,1936.559112,nu_0.4
yeast,isf,0.05,1.00E-06,TRUE,100,25,0.3271,0.9034,0,0.3282,0.927,0.4848,0.3326,0.9527,0,4.248873949,1932.310238,1936.559112,nu_0.4
yeast,isf,0.1,1.00E-06,TRUE,100,25,0.2875,0.6391,0,0.3282,0.927,0.4848,0.3287,0.9329,0,4.248873949,1932.310238,1936.559112,nu_0.4
yeast,isf,0,1.00E-06,TRUE,100,50,0.3356,0.9684,0,0.3282,0.927,0.4848,0.3374,0.9783,0,4.248873949,1930.55437,1934.803244,nu_0.4
yeast,isf,0.01,1.00E-06,TRUE,100,50,0.3301,0.9389,0,0.3282,0.927,0.4848,0.3347,0.9645,0,4.248873949,1930.55437,1934.803244,nu_0.4
yeast,isf,0.05,1.00E-06,TRUE,100,50,0.3269,0.8994,0,0.3282,0.927,0.4848,0.3326,0.9527,0,4.248873949,1930.55437,1934.803244,nu_0.4
yeast,isf,0.1,1.00E-06,TRUE,100,50,0.288,0.643,0,0.3282,0.927,0.4848,0.3289,0.9329,0,4.248873949,1930.55437,1934.803244,nu_0.4
yeast,isf,0,1.00E-06,TRUE,100,10,0.3405,0.9941,0,0.3381,0.9803,0.5028,0.3416,1,0,4.320641041,1931.496475,1935.817116,nu_0.5
yeast,isf,0.01,1.00E-06,TRUE,100,10,0.3383,0.9822,0,0.3381,0.9803,0.5028,0.3403,0.9941,0,4.320641041,1931.496475,1935.817116,nu_0.5
yeast,isf,0.05,1.00E-06,TRUE,100,10,0.3306,0.9448,0,0.3381,0.9803,0.5028,0.3399,0.9921,0,4.320641041,1931.496475,1935.817116,nu_0.5
yeast,isf,0.1,1.00E-06,TRUE,100,10,0.3175,0.8323,0,0.3381,0.9803,0.5028,0.3392,0.9882,0,4.320641041,1931.496475,1935.817116,nu_0.5
yeast,isf,0,1.00E-06,TRUE,100,25,0.3401,0.9921,0,0.3381,0.9803,0.5028,0.3412,0.998,0,4.320641041,1883.50344,1887.824081,nu_0.5
yeast,isf,0.01,1.00E-06,TRUE,100,25,0.3374,0.9803,0,0.3381,0.9803,0.5028,0.3408,0.9961,0,4.320641041,1883.50344,1887.824081,nu_0.5
yeast,isf,0.05,1.00E-06,TRUE,100,25,0.3308,0.9467,0,0.3381,0.9803,0.5028,0.3399,0.9921,0,4.320641041,1883.50344,1887.824081,nu_0.5
yeast,isf,0.1,1.00E-06,TRUE,100,25,0.3173,0.8304,0,0.3381,0.9803,0.5028,0.3392,0.9882,0,4.320641041,1883.50344,1887.824081,nu_0.5
