dataname,method,t,tol,knn,size_neighbor,min_neighbor,s_p,s_r,s_f1,o_p,o_r,o_f1,c_p,c_r,c_f1,overall_runtime,structured_runtime,combined_runtime,param
yeast,ocsvm,0.01,0.0001,FALSE,300,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5092,7.59500432,5.189460993,12.78446531,nu_0.5
yeast,ocsvm,0.05,0.0001,FALSE,300,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5092,7.59500432,5.189460993,12.78446531,nu_0.5
yeast,ocsvm,0.1,0.0001,FALSE,300,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5092,7.59500432,5.189460993,12.78446531,nu_0.5
yeast,ocsvm,0,0.01,TRUE,50,10,0.3191,0.7377,0.445495969,0.3416,1,0.5093,0.3416,1,0.5092,1.597362041,11.63695097,13.23431301,nu_0.1
yeast,ocsvm,0.01,0.01,TRUE,50,10,0.3191,0.7377,0.445495969,0.3416,1,0.5093,0.3416,1,0.5092,1.597362041,11.63695097,13.23431301,nu_0.1
yeast,ocsvm,0.05,0.01,TRUE,50,10,0.3213,0.3846,0.350111857,0.3416,1,0.5093,0.3416,1,0.5092,1.597362041,11.63695097,13.23431301,nu_0.1
yeast,ocsvm,0.1,0.01,TRUE,50,10,0.2364,0.0256,0.046197252,0.3416,1,0.5093,0.3416,1,0.5092,1.597362041,11.63695097,13.23431301,nu_0.1
yeast,ocsvm,0,0.01,TRUE,50,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5092,1.597362041,4.474865198,6.07222724,nu_0.1
yeast,ocsvm,0.01,0.01,TRUE,50,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5092,1.597362041,4.474865198,6.07222724,nu_0.1
yeast,ocsvm,0.05,0.01,TRUE,50,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5092,1.597362041,4.474865198,6.07222724,nu_0.1
yeast,ocsvm,0.1,0.01,TRUE,50,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5092,1.597362041,4.474865198,6.07222724,nu_0.1
yeast,ocsvm,0,0.01,TRUE,50,10,0.3426,1,0.510353046,0.3416,1,0.5093,0.3416,1,0.5092,7.704345942,8.197113037,15.90145898,nu_0.5
yeast,ocsvm,0.01,0.01,TRUE,50,10,0.3426,1,0.510353046,0.3416,1,0.5093,0.3416,1,0.5092,7.704345942,8.197113037,15.90145898,nu_0.5
yeast,ocsvm,0.05,0.01,TRUE,50,10,0.3357,0.9389,0.494568853,0.3416,1,0.5093,0.3416,1,0.5092,7.704345942,8.197113037,15.90145898,nu_0.5
yeast,ocsvm,0.1,0.01,TRUE,50,10,0.3348,0.5957,0.42867353,0.3416,1,0.5093,0.3416,1,0.5092,7.704345942,8.197113037,15.90145898,nu_0.5
yeast,ocsvm,0,0.01,TRUE,50,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5092,7.704345942,4.567354202,12.27170014,nu_0.5
yeast,ocsvm,0.01,0.01,TRUE,50,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5092,7.704345942,4.567354202,12.27170014,nu_0.5
yeast,ocsvm,0.05,0.01,TRUE,50,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5092,7.704345942,4.567354202,12.27170014,nu_0.5
yeast,ocsvm,0.1,0.01,TRUE,50,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5092,7.704345942,4.567354202,12.27170014,nu_0.5
yeast,ocsvm,0,0.01,TRUE,100,10,0.3464,0.9408,0.506359727,0.3416,1,0.5093,0.3416,1,0.5092,1.595402956,12.7026031,14.29800606,nu_0.1
yeast,ocsvm,0.01,0.01,TRUE,100,10,0.3464,0.9408,0.506359727,0.3416,1,0.5093,0.3416,1,0.5092,1.595402956,12.7026031,14.29800606,nu_0.1
yeast,ocsvm,0.05,0.01,TRUE,100,10,0.3483,0.9014,0.502452781,0.3416,1,0.5093,0.3416,1,0.5092,1.595402956,12.7026031,14.29800606,nu_0.1
yeast,ocsvm,0.1,0.01,TRUE,100,10,0.3346,0.503,0.401871538,0.3416,1,0.5093,0.3416,1,0.5092,1.595402956,12.7026031,14.29800606,nu_0.1
