dataname,method,t,tol,knn,size_neighbor,min_neighbor,s_p,s_r,s_f1,o_p,o_r,o_f1,c_p,c_r,c_f1,overall_runtime,structured_runtime,combined_runtime,param
yeast,lof,0,0.0001,True,300,10,0.2541,0.3373,0.2898,0.3152,0.4339,0.3651,0.2962,0.5345,0.3812,8.089974403381348,71.97841501235962,80.06838941574097,nu_0.1,
yeast,lof,0.01,0.0001,True,300,10,0.2628,0.3333,0.2939,0.3152,0.4339,0.3651,0.3028,0.5345,0.3866,8.089974403381348,71.97841501235962,80.06838941574097,nu_0.1,
yeast,lof,0.05,0.0001,True,300,10,0.2649,0.3333,0.2952,0.3152,0.4339,0.3651,0.3042,0.5345,0.3877,8.089974403381348,71.97841501235962,80.06838941574097,nu_0.1,
yeast,lof,0.1,0.0001,True,300,10,0.2649,0.3333,0.2952,0.3152,0.4339,0.3651,0.3042,0.5345,0.3877,8.089974403381348,71.97841501235962,80.06838941574097,nu_0.1,
yeast,lof,0,0.0001,True,300,50,0.2623,0.3373,0.2951,0.3152,0.4339,0.3651,0.3018,0.5345,0.3858,8.089974403381348,65.0469982624054,73.13697266578674,nu_0.1,
yeast,lof,0.01,0.0001,True,300,50,0.2628,0.3333,0.2939,0.3152,0.4339,0.3651,0.3028,0.5345,0.3866,8.089974403381348,65.0469982624054,73.13697266578674,nu_0.1,
yeast,lof,0.05,0.0001,True,300,50,0.2649,0.3333,0.2952,0.3152,0.4339,0.3651,0.3042,0.5345,0.3877,8.089974403381348,65.0469982624054,73.13697266578674,nu_0.1,
yeast,lof,0.1,0.0001,True,300,50,0.2649,0.3333,0.2952,0.3152,0.4339,0.3651,0.3042,0.5345,0.3877,8.089974403381348,65.0469982624054,73.13697266578674,nu_0.1,
yeast,lof,0,0.0001,True,300,10,0.3370,0.9684,0.5000,0.3388,0.9704,0.5023,0.3408,0.9941,0.5076,7.39780592918396,64.84498715400696,72.24279308319092,nu_0.5,
yeast,lof,0.01,0.0001,True,300,10,0.3372,0.9684,0.5003,0.3388,0.9704,0.5023,0.3408,0.9941,0.5076,7.39780592918396,64.84498715400696,72.24279308319092,nu_0.5,
yeast,lof,0.05,0.0001,True,300,10,0.3372,0.9665,0.5000,0.3388,0.9704,0.5023,0.3408,0.9941,0.5076,7.39780592918396,64.84498715400696,72.24279308319092,nu_0.5,
yeast,lof,0.1,0.0001,True,300,10,0.3372,0.9665,0.5000,0.3388,0.9704,0.5023,0.3408,0.9941,0.5076,7.39780592918396,64.84498715400696,72.24279308319092,nu_0.5,
yeast,lof,0,0.0001,True,300,50,0.3370,0.9684,0.5000,0.3388,0.9704,0.5023,0.3408,0.9941,0.5076,7.39780592918396,64.6329836845398,72.03078961372375,nu_0.5,
yeast,lof,0.01,0.0001,True,300,50,0.3372,0.9684,0.5003,0.3388,0.9704,0.5023,0.3408,0.9941,0.5076,7.39780592918396,64.6329836845398,72.03078961372375,nu_0.5,
yeast,lof,0.05,0.0001,True,300,50,0.3372,0.9665,0.5000,0.3388,0.9704,0.5023,0.3408,0.9941,0.5076,7.39780592918396,64.6329836845398,72.03078961372375,nu_0.5,
yeast,lof,0.1,0.0001,True,300,50,0.3372,0.9665,0.5000,0.3388,0.9704,0.5023,0.3408,0.9941,0.5076,7.39780592918396,64.6329836845398,72.03078961372375,nu_0.5,
yeast,lof,0,0.0001,False,300,10,0.0000,0.0000,0.0000,0.3152,0.4339,0.3651,0.3152,0.4339,0.3651,7.593883037567139,7.072759389877319,14.666642427444458,nu_0.1,
yeast,lof,0.01,0.0001,False,300,10,0.0000,0.0000,0.0000,0.3152,0.4339,0.3651,0.3152,0.4339,0.3651,7.593883037567139,7.072759389877319,14.666642427444458,nu_0.1,
